lat,lon
47.0916,15.8813
47.0912,15.8829
47.0908,15.8852
47.0903,15.8872
47.0899,15.8895
47.0898,15.8902
47.0895,15.8917
47.0891,15.8948
47.0891,15.8954
47.0891,15.8954
47.0892,15.8983
47.0894,15.901
47.0903,15.9039
47.0909,15.9068
47.0906,15.9091
47.0905,15.9094
47.0905,15.9094
47.0899,15.9112
47.089,15.9136
47.0879,15.9157
47.0872,15.9178
47.0871,15.922
47.087,15.9219
47.0869,15.9236
47.0865,15.9251
47.0865,15.9263
47.0864,15.9266
47.0864,15.9266
47.0864,15.9273
47.0863,15.9273
47.0863,15.9282
47.0864,15.9305
47.0863,15.933
47.0856,15.9354
47.0848,15.9379
47.084,15.9405
47.0834,15.9426
47.0834,15.9426
47.0831,15.9433
47.083,15.9433
47.083,15.9446
47.0833,15.9467
47.0834,15.9497
47.083,15.9527
47.0827,15.9551
47.0819,15.9578
47.0808,15.9603
47.0797,15.9623
47.0787,15.9642
47.0776,15.9662
47.0764,15.9686
47.0754,15.9714
47.0746,15.9738
47.0746,15.9738
47.0737,15.9768
47.0733,15.9795
47.0734,15.9826
47.074,15.9853
47.0747,15.9873
47.0755,15.9893
47.0764,15.9907
47.0773,15.9921
47.0778,15.9935
47.0776,15.9941
47.0776,15.9941
47.0774,15.9946
47.0773,15.9947
47.0773,15.9948
47.0773,15.9948
47.0773,15.9949
47.0773,15.9949
